Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,462.000000,476.000000,458.000000,466.000000,466.000000,7883000
2020-05-27,468.000000,472.000000,464.000000,468.000000,468.000000,5229900
2020-05-28,468.000000,470.000000,464.000000,464.000000,464.000000,5552800
2020-05-29,464.000000,468.000000,462.000000,466.000000,466.000000,5702600
2020-06-02,466.000000,470.000000,462.000000,462.000000,462.000000,6552600
2020-06-03,462.000000,480.000000,460.000000,480.000000,480.000000,12567300
2020-06-04,484.000000,488.000000,466.000000,468.000000,468.000000,11363200
2020-06-05,468.000000,476.000000,464.000000,472.000000,472.000000,6868600
2020-06-08,474.000000,480.000000,472.000000,480.000000,480.000000,9344900
2020-06-09,484.000000,488.000000,470.000000,470.000000,470.000000,10773900
2020-06-10,470.000000,472.000000,448.000000,454.000000,454.000000,10079000
2020-06-11,454.000000,460.000000,446.000000,456.000000,456.000000,7052600
2020-06-12,454.000000,454.000000,440.000000,454.000000,454.000000,6629100
2020-06-15,456.000000,458.000000,450.000000,452.000000,452.000000,5665200
2020-06-16,452.000000,468.000000,452.000000,462.000000,462.000000,7290900
2020-06-17,462.000000,476.000000,462.000000,470.000000,470.000000,9692700
2020-06-18,472.000000,472.000000,464.000000,466.000000,466.000000,5673000
2020-06-19,468.000000,470.000000,460.000000,460.000000,460.000000,7521300
2020-06-22,460.000000,462.000000,456.000000,458.000000,458.000000,6135300
2020-06-23,460.000000,466.000000,450.000000,460.000000,460.000000,7869400
2020-06-24,460.000000,474.000000,460.000000,470.000000,470.000000,9885000
2020-06-25,470.000000,470.000000,462.000000,462.000000,462.000000,5260000
2020-06-26,464.000000,470.000000,456.000000,464.000000,464.000000,11354200
2020-06-29,464.000000,470.000000,460.000000,468.000000,468.000000,6786900
2020-06-30,468.000000,474.000000,464.000000,466.000000,466.000000,6334600
2020-07-01,466.000000,468.000000,462.000000,466.000000,466.000000,5124000
2020-07-02,464.000000,468.000000,462.000000,466.000000,466.000000,5480100
2020-07-03,466.000000,466.000000,460.000000,460.000000,460.000000,5853600
2020-07-06,460.000000,468.000000,460.000000,462.000000,462.000000,7405300
2020-07-07,462.000000,466.000000,460.000000,464.000000,464.000000,3768300
2020-07-08,464.000000,466.000000,462.000000,462.000000,462.000000,6483300
2020-07-09,462.000000,476.000000,462.000000,464.000000,464.000000,11318400
2020-07-10,466.000000,478.000000,464.000000,468.000000,468.000000,13317500
2020-07-13,470.000000,474.000000,468.000000,472.000000,472.000000,7635200
2020-07-14,472.000000,476.000000,466.000000,468.000000,468.000000,7036700
2020-07-15,468.000000,472.000000,462.000000,464.000000,464.000000,5303300
2020-07-16,464.000000,466.000000,462.000000,464.000000,464.000000,7249200
