Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,230.000000,234.000000,227.000000,231.000000,231.000000,67533500
2020-05-27,232.000000,246.000000,232.000000,246.000000,246.000000,150966500
2020-05-28,249.000000,268.000000,244.000000,252.000000,252.000000,350458500
2020-05-29,255.000000,255.000000,242.000000,251.000000,251.000000,99839500
2020-06-02,252.000000,259.000000,250.000000,252.000000,252.000000,74350000
2020-06-03,255.000000,267.000000,252.000000,257.000000,257.000000,165475000
2020-06-04,264.000000,274.000000,258.000000,263.000000,263.000000,305206000
2020-06-05,266.000000,270.000000,263.000000,264.000000,264.000000,77339500
2020-06-08,267.000000,279.000000,266.000000,272.000000,272.000000,180316000
2020-06-09,278.000000,280.000000,259.000000,261.000000,261.000000,128949000
2020-06-10,262.000000,266.000000,251.000000,258.000000,258.000000,62704500
2020-06-11,258.000000,262.000000,248.000000,248.000000,248.000000,48096000
2020-06-12,244.000000,252.000000,233.000000,251.000000,251.000000,65875500
2020-06-15,252.000000,262.000000,246.000000,248.000000,248.000000,98280500
2020-06-16,251.000000,264.000000,251.000000,263.000000,263.000000,95107000
2020-06-17,264.000000,266.000000,256.000000,264.000000,264.000000,54900000
2020-06-18,264.000000,265.000000,257.000000,258.000000,258.000000,62515000
2020-06-19,261.000000,261.000000,255.000000,255.000000,255.000000,40812000
2020-06-22,258.000000,259.000000,252.000000,255.000000,255.000000,25050500
2020-06-23,255.000000,258.000000,246.000000,250.000000,250.000000,43829000
2020-06-24,250.000000,257.000000,250.000000,257.000000,257.000000,44369000
2020-06-25,257.000000,257.000000,246.000000,250.000000,250.000000,37267500
2020-06-26,253.000000,255.000000,247.000000,247.000000,247.000000,31996500
2020-06-29,249.000000,249.000000,238.000000,243.000000,243.000000,57621000
2020-06-30,245.000000,252.000000,244.000000,251.000000,251.000000,74359000
2020-07-01,246.000000,255.000000,246.000000,251.000000,251.000000,35659000
2020-07-02,254.000000,256.000000,246.000000,249.000000,249.000000,59109000
2020-07-03,250.000000,252.000000,246.000000,246.000000,246.000000,17140000
2020-07-06,247.000000,250.000000,246.000000,249.000000,249.000000,34702000
2020-07-07,251.000000,271.000000,248.000000,270.000000,270.000000,362584500
2020-07-08,272.000000,273.000000,262.000000,264.000000,264.000000,198956500
2020-07-09,265.000000,267.000000,259.000000,260.000000,260.000000,118376500
2020-07-10,260.000000,269.000000,258.000000,263.000000,263.000000,95230500
2020-07-13,263.000000,283.000000,263.000000,276.000000,276.000000,434099000
2020-07-14,276.000000,278.000000,267.000000,268.000000,268.000000,116813500
2020-07-15,271.000000,273.000000,266.000000,267.000000,267.000000,44774000
2020-07-16,268.000000,281.000000,267.000000,275.000000,275.000000,238080000
2020-07-17,275.000000,298.000000,275.000000,291.000000,291.000000,435252500
2020-07-20,291.000000,301.000000,286.000000,290.000000,290.000000,172527000
2020-07-21,292.000000,298.000000,292.000000,296.000000,296.000000,72672000
2020-07-22,297.000000,314.000000,292.000000,303.000000,303.000000,252899500
2020-07-23,305.000000,306.000000,295.000000,298.000000,298.000000,99494000
2020-07-24,295.000000,296.000000,290.000000,292.000000,292.000000,43364000
2020-07-27,293.000000,300.000000,292.000000,299.000000,299.000000,51729000
2020-07-28,300.000000,302.000000,288.000000,289.000000,289.000000,55621000
2020-07-29,289.000000,292.000000,280.000000,290.000000,290.000000,69737500
2020-07-30,292.000000,296.000000,282.000000,294.000000,294.000000,124325500
2020-08-03,297.000000,303.000000,274.000000,298.000000,298.000000,213122000
2020-08-04,301.000000,310.000000,295.000000,298.000000,298.000000,242274000
2020-08-05,300.000000,304.000000,294.000000,303.000000,303.000000,98796500
2020-08-06,303.000000,306.000000,298.000000,305.000000,305.000000,203531000
2020-08-07,307.000000,328.000000,306.000000,324.000000,324.000000,374381000
2020-08-10,326.000000,339.000000,322.000000,334.000000,334.000000,176129500
2020-08-11,336.000000,350.000000,331.000000,345.000000,345.000000,133593500
2020-08-12,345.000000,346.000000,324.000000,334.000000,334.000000,120257500
2020-08-13,338.000000,341.000000,331.000000,336.000000,336.000000,52911500
2020-08-14,338.000000,338.000000,331.000000,336.000000,336.000000,43833000
2020-08-18,336.000000,340.000000,333.000000,336.000000,336.000000,38538000
2020-08-19,340.000000,357.000000,339.000000,353.000000,353.000000,186634000
2020-08-24,360.000000,361.000000,348.000000,353.000000,353.000000,55779000
2020-08-25,353.000000,356.000000,349.000000,351.000000,351.000000,20182500
2020-08-26,355.000000,355.000000,346.000000,349.000000,349.000000,42043000
2020-08-27,348.000000,349.000000,338.000000,339.000000,339.000000,90922500
2020-08-28,339.000000,355.000000,333.000000,352.000000,352.000000,179015000
2020-08-31,355.000000,358.000000,334.000000,344.000000,344.000000,170624000
2020-09-01,344.000000,347.000000,338.000000,339.000000,339.000000,41232500
2020-09-02,345.000000,345.000000,334.000000,338.000000,338.000000,70834000
2020-09-03,340.000000,346.000000,334.000000,335.000000,335.000000,77354500
2020-09-04,332.000000,342.000000,324.000000,337.000000,337.000000,54797000
